Salutation,Last Name,First Name,Vlookup Name,Full Name,City,Country,Position,Department,Affiliation,E_mail,Contact Info,URL,Organization,Organization_Committee,Organization_Role,Congress,Congress_Year,Congress_Session,Congress_Title_of_Session,Congress_Role,Journal,Journal_Editorial Board,Journal_Role,Guideline_Name,Guideline_Year,Guideline_Role,CT_NCT_Id_Breast Cancer,title,recruiting,conditions,interventions,lead_sponsor,other_sponsor,phase,study_type,Role,start_dt,end_dt,First Author,Last Author,Total Pub Count,Total 2002-2006,Total 2007-2011,Total 2012-2017
,Vang,Russell Stephen,Vang R,Russell Stephen Vang,(Blank),USA,Professor of Pathology,(Blank),(Blank),(Blank),(Blank),http://pathology.jhu.edu/breast/expertise.php,Johns Hopkins University,Breast Cancer & Breast Pathology,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vang,Russell Stephen,Vang R,Russell Stephen Vang,(Blank),USA,Professor of Pathology,(Blank),(Blank),(Blank),(Blank),http://www.hopkinsmedicine.org/breast_center/team_approach/our_team/diagnosticians/pathology.html,Johns Hopkins University,Johns Hopkins Breast Center,Diagnosticians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Varghese,Shibu,Varghese S,Shibu Varghese,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/about-md-anderson/facts-history/shared-governance-committee.html,The University of Texas MD Anderson Cancer Center,Shared Governance Committee,"Vice President, Human Resources (non-voting)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vetteth,Yohan,Vetteth Y,Yohan Vetteth,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://stanfordhealthcare.org/about-us/leadership.html,Stanford Health Care,Leadership team,"Vice President, Healthcare Data and Analytics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Victorian,Tralynn Michelle,Victorian T,Tralynn Michelle Victorian,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/cancer-prevention-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Cancer Prevention Center,Nurse practitioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Visvanathan,Kala,Visvanathan K,Kala Visvanathan,Baltimore,USA,Director,Clinical Cancer Genetics and Prevention Service,Sidney Kimmel Cancer Center,(Blank),(Blank),http://www.hopkinsmedicine.org/breast_center/team_approach/our_team/diagnosticians/genetic_counseling_testing/,Johns Hopkins University,Johns Hopkins Breast Center,Diagnosticians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Visvanathan,Kala,Visvanathan K,Kala Visvanathan,Baltimore,USA,Director,Clinical Cancer Genetics and Prevention Service,Sidney Kimmel Cancer Center,(Blank),(Blank),http://www.hopkinsmedicine.org/breast_center/team_approach/our_team/medical_oncologists.html,Johns Hopkins University,Johns Hopkins Breast Center,Medical Oncologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vyas,Alpa,Vyas A,Alpa Vyas,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://stanfordhealthcare.org/about-us/leadership.html,Stanford Health Care,Leadership team,"Vice President, Patient Experience",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wahab,Rifat,Wahab R,Rifat Wahab,(Blank),USA,Assistant Professor of Radiology & Breast Imaging,Department of Radiology,UC Health West Chester Hospital,(Blank),(Blank),http://uchealth.com/cancer/centers-programs/breast-cancer-center/our-team/,University of Cincinnati Cancer Institute,Breast Cancer Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wald,Sam,Wald S,Sam Wald,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://stanfordhealthcare.org/about-us/leadership.html,Stanford Health Care,Leadership team,"Vice President, Surgical Services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Walters,Ronald S,Walters R,Ronald S Walters,(Blank),USA,(Blank),(Blank),University of Texas MD Anderson Cancer Center,(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Nellie B. Connally Breast Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wapnir,Irene L,Wapnir I,Irene L Wapnir,Stanford,USA,Professor,(Blank),Stanford Women's Cancer Center,(Blank),(Blank),https://stanfordhealthcare.org/content/shc/en/search-results.doctors.html/&sp_clinics%7C/medical-clinics/breast-cancer-program.html%7CBreast%20Cancer%20Program#&x1=sp_spec_care_phy&q1=true&x2=sp_dr_title_groups&q2=Surgery&x3=sp_dr_titles&q3=Surgical%20oncologist,Stanford Health Care,Breast Cancer Program,Surgical oncologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ward,John H,Ward J,John H Ward,Salt Lake City,USA,(Blank),(Blank),Huntsman Cancer Institute,(Blank),(Blank),https://healthcare.utah.edu/huntsmancancerinstitute/patient-care/clinics-and-care-teams/breast-cancer-program/our-team.php,University of Utah,Huntsman Cancer Institute’s Breast Cancer Program,Medical Oncologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ward,John H,Ward J,John H Ward,Salt Lake City,USA,(Blank),(Blank),Huntsman Cancer Institute,(Blank),(Blank),http://healthcare.utah.edu/huntsmancancerinstitute/cancer-information/cancer-types-and-topics/breast-cancer.php,University of Utah,Breast Cancer,Provider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weber,Randal S,Weber R,Randal S Weber,(Blank),USA,(Blank),(Blank),University of Texas MD Anderson Cancer Center,(Blank),(Blank),https://www.mdanderson.org/about-md-anderson/facts-history/shared-governance-committee.html,The University of Texas MD Anderson Cancer Center,Shared Governance Committee,"Chair, Head and Neck Surgery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weber,Shirley,Weber S,Shirley Weber,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://stanfordhealthcare.org/about-us/leadership.html,Stanford Health Care,Leadership team,"Vice President, Ancillary Services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weinacker,Ann,Weinacker A,Ann Weinacker,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://stanfordhealthcare.org/about-us/leadership.html,Stanford Health Care,Leadership team,Interim Chief Quality Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weise,Amy,Weise A,Amy Weise,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://www.karmanos.org/cancer-care/teams/breast-team,Barbara Ann Karmanos Cancer Center,Breast Cancer Program,Medical Oncologists ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welton,Mark,Welton M,Mark Welton,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://stanfordhealthcare.org/about-us/leadership.html,Stanford Health Care,Leadership team,Chief of the Medical Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welton,Mark,Welton M,Mark Welton,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://stanfordhealthcare.org/about-us/leadership.html,Stanford Health Care,Leadership team,Board Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Werner,Theresa L,Werner T,Theresa L Werner,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://healthcare.utah.edu/huntsmancancerinstitute/patient-care/clinics-and-care-teams/breast-cancer-program/our-team.php,University of Utah,Huntsman Cancer Institute’s Breast Cancer Program,Medical Oncologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Werner,Theresa L,Werner T,Theresa L Werner,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://healthcare.utah.edu/huntsmancancerinstitute/cancer-information/cancer-types-and-topics/breast-cancer.php,University of Utah,Breast Cancer,Provider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wheeler,Amanda J,Wheeler A,Amanda J Wheeler,Palo Alto,USA,Clinical Assistant Professor,(Blank),Stanford Women's Cancer Center,(Blank),(Blank),https://stanfordhealthcare.org/content/shc/en/search-results.doctors.html/&sp_clinics%7C/medical-clinics/breast-cancer-program.html%7CBreast%20Cancer%20Program#&x1=sp_spec_care_phy&q1=true&x2=sp_dr_title_groups&q2=Surgery&x3=sp_dr_titles&q3=Surgical%20oncologist,Stanford Health Care,Breast Cancer Program,Surgical oncologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Whitlow,Tonya,Whitlow T,Tonya Whitlow,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/cancer-prevention-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Cancer Prevention Center,Physician Assistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Whitman,Gary J,Whitman G,Gary J Whitman,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/about-md-anderson/facts-history/shared-governance-committee.html,The University of Texas MD Anderson Cancer Center,Shared Governance Committee,"Past Chair, Faculty Senate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Whitman,Gary J,Whitman G,Gary J Whitman,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Nellie B. Connally Breast Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wilding,George,Wilding G,George Wilding,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/about-md-anderson/facts-history/shared-governance-committee.html,The University of Texas MD Anderson Cancer Center,Shared Governance Committee,"Vice Provost, Clinical and Interdisciplinary Research",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Williams,Tom,Williams T,Tom Williams,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://stanfordhealthcare.org/about-us/leadership.html,Stanford Health Care,Leadership team,"Vice President, Accountable Care",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wilmot,Helen,Wilmot H,Helen Wilmot,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://stanfordhealthcare.org/about-us/leadership.html,Stanford Health Care,Leadership team,"Vice President, Transitional Planning and Strategic Space Management/General Services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Winegar,Heidi,Winegar H,Heidi Winegar,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://healthcare.utah.edu/huntsmancancerinstitute/patient-care/clinics-and-care-teams/breast-cancer-program/our-team.php,University of Utah,Huntsman Cancer Institute’s Breast Cancer Program,Surgery Nurses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wolff,Antonio Carlos,Wolff A,Antonio Carlos Wolff,Baltimore,USA,(Blank),(Blank),Sidney Kimmel Comprehensive Cancer Center,(Blank),(Blank),http://www.hopkinsmedicine.org/breast_center/team_approach/our_team/survivorship/,Johns Hopkins University,Johns Hopkins Breast Center,Survivorship Program team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wolff,Antonio Carlos,Wolff A,Antonio Carlos Wolff,Baltimore,USA,(Blank),(Blank),Sidney Kimmel Comprehensive Cancer Center,(Blank),(Blank),http://www.hopkinsmedicine.org/breast_center/team_approach/our_team/medical_oncologists.html,Johns Hopkins University,Johns Hopkins Breast Center,Medical Oncologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Woods,Ryan William,Woods R,Ryan William Woods,(Blank),USA,Assistant Professor of Radiology and Radiological Science,(Blank),(Blank),(Blank),(Blank),http://www.hopkinsmedicine.org/breast_center/team_approach/our_team/diagnosticians/imaging.html,Johns Hopkins University,Johns Hopkins Breast Center,Diagnosticians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Woodson,Ashley,Woodson A,Ashley Woodson,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/high-risk-screening-and-genetics-clinic.html,The University of Texas MD Anderson Cancer Center,High Risk Breast Screening and Genetics Clinic,Clinician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Woodward,Wendy,Woodward W,Wendy Woodward,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Nellie B. Connally Breast Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Woodward,Wendy,Woodward W,Wendy Woodward,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/research/departments-labs-institutes/programs-centers/inflammatory-breast-cancer-research-program/members.html,The University of Texas MD Anderson Cancer Center,Inflammatory Breast Cancer Research Program,Deputy Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Woodward,Wendy,Woodward W,Wendy Woodward,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/research/departments-labs-institutes/programs-centers/inflammatory-breast-cancer-research-program/members.html,The University of Texas MD Anderson Cancer Center,"Inflammatory Breast Cancer Research Program, Executive Committee",Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Woodward,Wendy,Woodward W,Wendy Woodward,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/inflammatory-breast-cancer-clinic.html,The University of Texas MD Anderson Cancer Center,Morgan Welch Inflammatory Breast Cancer Clinic,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wright,Janet,Wright J,Janet Wright,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://healthcare.utah.edu/huntsmancancerinstitute/patient-care/clinics-and-care-teams/breast-cancer-program/our-team.php,University of Utah,Huntsman Cancer Institute’s Breast Cancer Program,Oncology Patient Coordinator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wright,Jean Lundberg,Wright J,Jean Lundberg Wright,(Blank),USA,Associate Professor of Radiation Oncology and Molecular Radiation Sciences,(Blank),(Blank),(Blank),(Blank),http://www.hopkinsmedicine.org/breast_center/team_approach/our_team/radiation_oncologists.html,Johns Hopkins University,Johns Hopkins Breast Center,Radiation Oncologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wright,Pamela Ann,Wright P,Pamela Ann Wright,(Blank),USA,Medical Director,(Blank),Suburban Hospital Breast Center,(Blank),(Blank),http://www.hopkinsmedicine.org/breast_center/team_approach/our_team/breast_surgical_oncologists.html,Johns Hopkins University,Johns Hopkins Breast Center,Breast Surgical Oncologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yang,Wei Tse,Yang W,Wei Tse Yang,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/inflammatory-breast-cancer-clinic.html,The University of Texas MD Anderson Cancer Center,Morgan Welch Inflammatory Breast Cancer Clinic,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yang,Wei Tse,Yang W,Wei Tse Yang,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/research/departments-labs-institutes/programs-centers/inflammatory-breast-cancer-research-program/members.html,The University of Texas MD Anderson Cancer Center,Inflammatory Breast Cancer Research Program,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yang,Wei Tse,Yang W,Wei Tse Yang,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Nellie B. Connally Breast Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yilmaz-Saab,Zeynep N,Yilmaz-Saab Z,Zeynep N Yilmaz-Saab,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://www.karmanos.org/cancer-care/teams/breast-team,Barbara Ann Karmanos Cancer Center,Breast Cancer Program,Radiologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yoo,George,Yoo G,George Yoo,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://www.karmanos.org/Leadership,Barbara Ann Karmanos Cancer Center,Leadership team,Chief Medical Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zacur,Howard A,Zacur H,Howard A Zacur,(Blank),USA,Professor of Gynecology and Obstetrics,(Blank),(Blank),(Blank),(Blank),http://www.hopkinsmedicine.org/breast_center/team_approach/our_team/gynecologists_specializing_in_breast_cancer.html,Johns Hopkins University,Johns Hopkins Breast Center,Gynecologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ziegfeld,Constance,Ziegfeld C,Constance Ziegfeld,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://www.hopkinsmedicine.org/breast_center/team_approach/our_team/nurses/,Johns Hopkins University,Johns Hopkins Breast Center,Nurse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zuazua,Rose,Zuazua R,Rose Zuazua,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/cancer-prevention-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Cancer Prevention Center,Physician Assistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aapro,Matti,Aapro M,Matti Aapro,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://mascc.memberclicks.net/committees,Multinational Association of Supportive Care in Cancer,Guidelines Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aapro,Matti,Aapro M,Matti Aapro,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://mascc.memberclicks.net/committees,Multinational Association of Supportive Care in Cancer,Publications Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abate-Shen,Cory,Abate-Shen C,Cory Abate-Shen,New York,USA,Michael and Stella Chernow Professor,Department of Urologic Sciences,Columbia University Irving Comprehensive Cancer Center,(Blank),(Blank),http://www.aacr.org/AboutUs/Pages/BoardOfDirectors.aspx?utm_source=aacr-org&utm_medium=mouseover&utm_campaign=directors#.WQB6adJ97IV,American Association of Cancer Research,Board of Directos,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abate-Shen,Cory,Abate-Shen C,Cory Abate-Shen,New York,USA,Michael and Stella Chernow Professor,Department of Urologic Sciences,Columbia University Irving Comprehensive Cancer Center,(Blank),(Blank),http://www.aacr.org/AboutUs/Pages/Governance/scientific-achievement-awards-committees___35BC28.aspx#.WQF1DtJ97IU,American Association of Cancer Research,Scientific Achievement Awards Committee - Laboratory Research Awards Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aberle,Denise R,Aberle D,Denise R Aberle,(Blank),USA,(Blank),(Blank),"University of California, Los Angeles",(Blank),(Blank),http://ecog-acrin.org/research-support/research-support-committees,ECOG-ACRIN Cancer Research Group,Audit and Quality Control Committee,Vice Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aberle,Denise R,Aberle D,Denise R Aberle,(Blank),USA,(Blank),(Blank),"University of California, Los Angeles",(Blank),(Blank),http://ecog-acrin.org/about-us/governance/executive-committee,ECOG-ACRIN Cancer Research Group,"Executive Committee, Imaging Sciences",Deputy Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aberle,Denise R,Aberle D,Denise R Aberle,(Blank),USA,(Blank),(Blank),"University of California, Los Angeles",(Blank),(Blank),http://ecog-acrin.org/about-us/governance/principal-investigator-committee,ECOG-ACRIN Cancer Research Group,Principal Investigator Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aberle,Denise R,Aberle D,Denise R Aberle,(Blank),USA,(Blank),(Blank),"University of California, Los Angeles",(Blank),(Blank),http://ecog-acrin.org/scientific_programs/cancer-control-outcomes/early-detection-committee,ECOG-ACRIN Cancer Research Group,"Early Detection, Diagnosis, and Surveillance Committee",Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acheson,Louise,Acheson L,Louise Acheson,Cleveland,USA,(Blank),(Blank),Case Western Reserve University,(Blank),(Blank),https://www.cancer.org/research/we-fund-cancer-research/apply-research-grant/peer-review-committees/psychosocial-behavioral-cancer-research.html,American Cancer Society,Peer Review Committee for Cancer Control and Prevention: Psychosocial and Behavioral Aspects of Cancer Research ,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adams,Laura,Adams L,Laura Adams,(Blank),USA,(Blank),(Blank),Stanford Cancer Institute,(Blank),(Blank),https://www.nccn.org/about/leadership.aspx,National Comprehensive Cancer Network,Board of Directors,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adams-Campbell,Lucile L,Adams-Campbell L,Lucile L Adams-Campbell,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://www.aacr.org/AboutUs/Pages/Governance/scientific-achievement-awards-committees___35BC28.aspx#.WQF1DtJ97IU,American Association of Cancer Research,Scientific Achievement Awards Committee - Cancer Epidemiology and Prevention Award Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adamson,Peter C,Adamson P,Peter C Adamson,(Blank),USA,(Blank),(Blank),Children’s Hospital of Philadelphia,(Blank),(Blank),https://www.asco.org/about-asco/asco-overview/leadership/board-of-directors,American Society of Clinical Oncology,Board of Directors,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adamson,Peter C,Adamson P,Peter C Adamson,(Blank),USA,(Blank),(Blank),Children’s Hospital of Philadelphia,(Blank),(Blank),http://www.aacr.org/AboutUs/PAGES/GOVERNANCE/RESEARCH-FUNDING-AND-MENTORED-GRANT-COMMITTEES.ASPX#NextGen,American Association of Cancer Research,Scientific Review Committee - NextGen Grants for Transformative Cancer Research Scientific Review Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adler,Kent,Adler K,Kent Adler,San Mateo,USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://www.instituteforquality.org/qopi/leadership,American Society of Clinical Oncology,"Institute for Quality, Physician Champion, Pilot Testing Group",Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ahluwalia,Manmeet Singh,Ahluwalia M,Manmeet Singh Ahluwalia,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://am.asco.org/about/committees,American Society of Clinical Oncology,Cancer Education Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ahmad,Nihal,Ahmad N,Nihal Ahmad,Madison,USA,(Blank),(Blank),University of Wisconsin – Madison,(Blank),(Blank),https://www.cancer.org/research/we-fund-cancer-research/apply-research-grant/peer-review-committees/tumor-biology-genomics-research.html,American Cancer Society,"Peer Review Committee for Nutrition, the Environment and Cancer",Vice-Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ahn,Jiyoung,Ahn J,Jiyoung Ahn,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://www.aacr.org/AboutUs/Pages/Governance/annual-meeting-committees___35BC28.aspx#EducationCommittee,American Association of Cancer Research,Annual Meeting Program Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ahsan,Habibul,Ahsan H,Habibul Ahsan,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://am.asco.org/about/committees,American Society of Clinical Oncology,Scientific Program Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aisner,Joseph A,Aisner J,Joseph A Aisner,(Blank),USA,(Blank),(Blank),Rutgers Cancer Institute of New Jersey,(Blank),(Blank),http://ecog-acrin.org/about-us/governance/executive-committee,ECOG-ACRIN Cancer Research Group,Executive Committee,Appointed Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aisner,Joseph A,Aisner J,Joseph A Aisner,(Blank),USA,(Blank),(Blank),Rutgers Cancer Institute of New Jersey,(Blank),(Blank),http://ecog-acrin.org/about-us/governance/principal-investigator-committee,ECOG-ACRIN Cancer Research Group,Principal Investigator Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ajayi,Olalekan,Ajayi O,Olalekan Ajayi,Sheridan,USA,Oncology Service Line,Manager,Welch Cancer Center,(Blank),(Blank),https://www.accc-cancer.org/about/BoardofTrustees.asp,Association of Community Cancer Centers,Board of Trustees,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Albini,Adriana,Albini A,Adriana Albini,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://www.aacr.org/AboutUs/PAGES/GOVERNANCE/RESEARCH-FUNDING-AND-MENTORED-GRANT-COMMITTEES.ASPX#Janssen,American Association of Cancer Research,Scientific Review Committee - Janssen Fellowship in Cancer Interception Research Scientific Review Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alexander,Kenneth A,Alexander K,Kenneth A Alexander,Orlando,USA,(Blank),(Blank),Nemours Children’s Clinic,(Blank),(Blank),https://www.cancer.org/research/we-fund-cancer-research/apply-research-grant/peer-review-committees/microbial-pathogenesis-cancer.html,American Cancer Society,Peer Review Committee for Microbial Pathogenesis and Cancer,Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alfonso,John,Alfonso J,John Alfonso,(Blank),USA,Partner,(Blank),CohnReznick LLP,(Blank),(Blank),https://www.cancer.org/about-us/financial-governance-information/board-of-directors.html,American Cancer Society,Board of Directors,Secretary/Treasurer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ali-Osman,Francis,Ali-Osman F,Francis Ali-Osman,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://www.aacr.org/AboutUs/PAGES/GOVERNANCE/RESEARCH-FUNDING-AND-MENTORED-GRANT-COMMITTEES.ASPX#clintrans,American Association of Cancer Research,Scientific Review Committee - Clinical and Translational Cancer Research Grants Scientific Review Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Allegra,Carmen J,Allegra C,Carmen J Allegra,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://www.aacr.org/AboutUs/Pages/Governance/annual-meeting-committees___35BC28.aspx#EducationCommittee,American Association of Cancer Research,Annual Meeting Program Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Allison,James Patrick,Allison J,James Patrick Allison,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://www.aacr.org/AboutUs/Pages/Governance/scientific-achievement-awards-committees___35BC28.aspx#.WQF1DtJ97IU,American Association of Cancer Research,Scientific Achievement Awards Committee - Cancer Research Institute Lloyd J. Old Award in Cancer Immunology Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Allred,Clinton,Allred C,Clinton Allred,College Station,USA,(Blank),(Blank),Texas A&M University,(Blank),(Blank),https://www.cancer.org/research/we-fund-cancer-research/apply-research-grant/peer-review-committees/tumor-biochemistry-endocrinology.html,American Cancer Society,Peer Review Committee for Tumor Biochemistry and Endocrinology,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Almuete,Virna I,Almuete V,Virna I Almuete,(Blank),USA,(Blank),(Blank),Johns Hopkins University,(Blank),(Blank),http://ecog-acrin.org/research-support/research-support-committees,ECOG-ACRIN Cancer Research Group,Pharmacy Committee,Co-Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
